"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Part no.","Part URL","Vendor","Note"
"D1","1","SMAJ5.0CA","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","",""
"D_DRIVE1,D_LFO1","2","Red LED","","","","LED_THT:LED_D3.0mm","~","","","",""
"D_DRIVE_FROM_CORE1","1","Red LED","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","",""
"J1,J7","2","Conn_02x03_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","~","200-SSW10301TD","https://mou.sr/3GIDVEr","Mouser",""
"J2","1","Conn_02x04_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","~","200-SSW10401TD","https://mou.sr/4qqxl75","Mouser",""
"J3,J8","2","Conn_01x01_Pin","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~","","","",""
"J4","1","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","200-SSW10201TS","https://mou.sr/4lBvdHe","Mouser",""
"J5","1","Conn_01x06","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","200-SSW10601TS","https://mou.sr/4lnf48h","Mouser",""
"J6","1","Conn_02x05_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","~","200-SSW10501TD","https://mou.sr/4lVCZM9","Mouser",""
"J_CRUSH_IN1,J_CRUSH_OUT1,J_CRUSH_TRIG1,J_LFO_SQR1,J_LFO_TRI1,J_MAIN_IN1","6","PJ398SM","","","","Shmoergh_Custom_Footprints:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","Thonk",""
"J_MAIN_OUT1","1","PJ366ST","","","","Shmoergh_Custom_Footprints:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","PJ366ST","https://www.thonk.co.uk/shop/3-5mm-jacks/","Thonk","Stereo jack"
"Q1","1","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","637-2N3904","https://mou.sr/4febysZ","Mouser",""
"Q2","1","2N3906","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","637-2N3906","https://mou.sr/4a8lju1","Mouser",""
"R1","1","47k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52-47K","https://mou.sr/3MWzgkZ","Mouser",""
"R2","1","4.7k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR25SFTF52-4K7","https://mou.sr/4q072Ei","Mouser",""
"R3","1","100k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR25SFTF52-4K7","https://mou.sr/4jOVa6s","Mouser",""
"RV_CRUSH1","1","A1M","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","~","652-PTV09A4025FA105","https://mou.sr/3VpxrOs","Mouser","D-Shaft"
"RV_DRIVE1","1","100k","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","~","652-PTV09A4025UB104 ","https://mou.sr/41lYe2k","Mouser","Knurled Shaft"
"RV_LFO_AMOUNT1","1","A20k","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Dual-PTV112-4","https://hu.mouser.com/ProductDetail/Bourns/PTV112-4425A-A203?qs=%252B9%2Fcbd0IE0TZlxUEy84P2Q%3D%3D","652-PTV1124425AA203 ","https://mou.sr/3V1fyW7","Mouser","D-Shaft"
"RV_LFO_RATE1","1","A500k-1M","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","~","652-PTV09A4025FA105","https://mou.sr/3VpxrOs","Mouser","D-Shaft"
"RV_MAIN_VOLUME1","1","A10k","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","~","652-PTV09A4025FA103","https://mou.sr/4bCOV0e","Mouser","D-Shaft"
