Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C3, C4, C5, C6",0603,10,100n,C14663
C14,CP_Elec_5x5.4,1,10u,C4747971
C15,0603,1,100p,C14858
"C16, C17",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,100n (foil),
C18,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1n (foil),
C7,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,22n-47n (foil),
"C8, C9",CP_Elec_6.3x7.7,2,100u,C2836437
"D1, D2",D_SOD-323,2,1N5817,C5190152
"D15, D16, D3, D4",D_SOD-123,4,1N4148,C81598
D_LIM_N1,LED_D3.0mm,1,Red LED,
D_LIM_P1,LED_D5.0mm,1,Red LED,
J1,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J2,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J4,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J5,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
J6,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J7,IDC-Header_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
Q2,TO-92_Inline_Wide,1,2N3819,
Q4,SOT-23,1,BC848,C458985
R1,0603,1,33k,C4216
"R10, R18, R26, R27, R29, R7",0603,6,10k,C25804
"R11, R20",0603,2,4.7k,C23162
R12,0603,1,150,C22808
"R13, R17, R25, R28, R30",0603,5,1k,C21190
"R14, R15",0603,2,100,C22775
R16,0603,1,1M,C22935
"R19, R2, R21, R22, R23, R3, R4, R5, R6",0603,9,100k,C25803
R24,0603,1,22k,C31850
"R8, R9",0603,2,47k,C25819
RV_HEADPHONE_LIM1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,100k,
RV_LINE_OUT_LVL1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,10k,
"U1, U2, U3, U5",SOIC-8_3.9x4.9mm_P1.27mm,4,TL072,C6961
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,NE5532,C7426
