Designator,Mid X,Mid Y,Rotation,Layer
C1,161.592,-72.829,0.0,top
C2,146.098,-63.919,270.0,top
J1,171.27,-96.54,0.0,bottom
J2,171.27,-149.77,0.0,bottom
J4,179.651,-98.884,0.0,top
J5,138.85,-151.0,270.0,bottom
J6,130.19,-99.27,90.0,bottom
JP1,156.512,-56.827,0.0,top
J_CUTOFF1,153.0,-114.295,0.0,top
J_CUTOFF2,169.0,-114.295,0.0,top
J_HP1,137.0,-114.295,0.0,top
J_LP1,137.0,-138.295,0.0,top
J_OUT1,169.0,-138.295,0.0,top
R1,179.626,-58.351,270.0,top
R10,162.241,-97.34,90.0,top
R11,165.402,-97.34,90.0,top
R12,158.925,-97.34,270.0,top
R13,155.623,-97.34,90.0,top
R14,152.321,-97.34,270.0,top
R2,176.324,-58.351,270.0,top
R3,173.000068,-68.384,90.0,top
R4,140.256,-81.973,0.0,top
R5,140.256,-85.148,0.0,top
R6,140.256,-75.623,0.0,top
R7,140.256,-78.798,180.0,top
R8,140.256,-88.323,0.0,top
R9,173.000068,-58.351,270.0,top
RV_CUTOFF1,153.0,-86.1,0.0,top
RV_CUTOFF2,169.0,-86.1,0.0,top
RV_CUTOFF_BIAS1,177.995,-67.408,180.0,top
RV_MAIN_CUTOFF1,165.0,-58.1,0.0,top
RV_RESO1,137.0,-62.1,0.0,top
U1,153.21,-69.019,270.0,top
